CIRCUITO,n_vanos_geo,longitud_geom_km,municipios,n_transformadores_geo,capacidad_transformadores_kva,transformadores_energizados,n_interruptores_geo,tipos_interruptor,interruptores_energizados
BOL23L12,382,88.70295076873141,"['PENSILVANIA', 'SAMANA']",129.0,2408.0,129.0,80,"['1CC', '2CC', '2CFR', '3CC', '3CFR', '3OS', '3RG', '3RL']",80
BOA23L12,416,87.69942747053018,"['BALBOA', 'LA CELIA', 'SANTUARIO', 'VITERBO']",141.0,4246.0,141.0,89,"['1CC', '2CC', '3CC', '3CFR', '3OS', '3RG', '3RL']",89
QHI23L13,402,87.17665839251717,"['GUATICA', 'QUINCHIA', 'RIOSUCIO']",153.0,3829.5,153.0,73,"['1CC', '2CC', '2CFR', '3CC', '3CFR', '3OS', '3RG', '3RL']",73
CHA23L14,449,87.11378025490997,"['CHINCHINA', 'MANIZALES', 'SANTA ROSA DE CABAL', 'VILLAMARIA']",178.0,4008.5,178.0,91,"['1CC', '1CFR', '2CC', '2CFR', '2CR', '3CC', '3CFR', '3IG', '3OS', '3RL']",90
SNA23L12,348,85.9893530288603,['SAMANA'],124.0,1673.5,124.0,64,"['1CC', '2CC', '2CFR', '3CC', '3CR', '3OS', '3RG', '3RL']",64
IRR23L13,469,84.79955873893499,"['ANSERMA', 'FILADELFIA', 'NEIRA', 'QUINCHIA', 'RIOSUCIO']",135.0,3910.5,135.0,73,"['1CC', '1CFR', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",73
INS23L13,542,83.87696530985524,"['CHINCHINA', 'MARSELLA', 'SANTA ROSA DE CABAL']",190.0,5273.0,190.0,108,"['1CC', '1CFR', '2CC', '3CC', '3CFR', '3IG', '3OS', '3RL']",108
NRA23L14,324,82.87134277163989,"['ARANZAZU', 'NEIRA']",92.0,2209.5,92.0,58,"['1CC', '1CFR', '2CC', '2CFR', '3CC', '3CR', '3IG', '3OS', '3RL']",58
AMR23L13,532,80.42302688941965,"['MANIZALES', 'NEIRA']",200.0,5049.0,200.0,120,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3OS', '3RG', '3RL']",120
PSO23L16,422,77.05121499441971,"['MANIZALES', 'NEIRA']",154.0,6054.5,154.0,44,"['1CC', '1CFR', '2CC', '2CFR', '3CC', '3CFR', '3IG', '3OS', '3RL']",44
RSA23L12,399,76.24628368581673,"['ANSERMA', 'RISARALDA', 'SAN JOSE']",129.0,2772.5,129.0,74,"['1CC', '2CC', '3CC', '3CFR', '3OS', '3RG', '3RL']",74
GTO23L13,446,75.71058784819864,"['LA DORADA', 'VICTORIA']",75.0,1665.0,75.0,54,"['1CC', '2CC', '2CFR', '3CC', '3CFR', '3CR', '3OS', '3RG', '3RL']",54
MAR23L13,387,75.5475907477537,"['CHINCHINA', 'MARSELLA', 'SANTA ROSA DE CABAL']",144.0,2956.0,144.0,72,"['1CC', '1CFR', '2CC', '3CC', '3CFR', '3OS', '3RG', '3RL']",72
FLR23L15,280,75.0866843522488,"['NORCASIA', 'SAMANA']",84.0,736.5,84.0,47,"['1CC', '1CFR', '2CC', '2CFR', '3CC', '3CFR', '3OS', '3RG']",47
PRO23L14,300,74.92994593299872,"['APIA', 'PUEBLO RICO']",99.0,1736.5,99.0,57,"['1CC', '2CC', '3CC', '3OS', '3RG', '3RL']",57
RIO23L15,396,74.78335126998225,"['QUINCHIA', 'RIOSUCIO', 'SUPIA']",149.0,3118.0,149.0,65,"['1CC', '1CFR', '2CC', '2CFR', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",65
