CIRCUITO,n_vanos_geo,longitud_geom_km,municipios,n_transformadores_geo,capacidad_transformadores_kva,transformadores_energizados,n_interruptores_geo,tipos_interruptor,interruptores_energizados
CAM23L12,306,13.10296115055473,['DOSQUEBRADAS'],144.0,9274.5,144.0,45,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",45
CAM23L13,332,12.89395269454516,['DOSQUEBRADAS'],194.0,15056.0,194.0,50,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",50
MAN23L16,236,11.952007577340687,['MANIZALES'],102.0,8680.0,102.0,35,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",35
CHI23L17,296,11.890893456071002,['MANIZALES'],134.0,9763.5,134.0,35,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL', 'REVISAR']",35
AMA23L13,172,11.85802663417889,['ANSERMA'],77.0,3803.0,77.0,19,"['1CFR', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",19
ELA23L12,81,11.850070740925274,['VICTORIA'],15.0,268.5,15.0,15,"['1CC', '2CC', '3CC', '3OS', '3RG', '3RL']",15
GRO23L14,55,11.807596840192911,"['PUEBLO RICO', 'TADO']",12.0,237.5,12.0,8,"['1CC', '2CC', '2CFR', '3CC', '3RG']",8
ROS23L15,310,11.75260849478915,['DOSQUEBRADAS'],180.0,11270.0,180.0,47,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",47
MTO23L12,142,11.324203481544611,['MANIZALES'],48.0,2050.5,48.0,21,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",21
BQE23L14,214,11.11927204712622,['DOSQUEBRADAS'],91.0,6215.5,91.0,26,"['3CC', '3CR', '3IG', '3OS', '3RL']",26
MOL23L15,222,11.021151445996974,['DOSQUEBRADAS'],106.0,5928.5,106.0,29,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",29
GTO23L12,135,10.56936491608606,['LA DORADA'],32.0,1651.0,32.0,19,"['1CC', '2CC', '3CC', '3OS', '3RG', '3RL']",19
DOR23L13,211,10.26054769582334,['LA DORADA'],115.0,7400.0,115.0,34,"['2CC', '3CC', '3IG', '3OS', '3RL']",34
SLM23L15,165,10.228803068637957,['SALAMINA'],74.0,3710.5,74.0,31,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",30
PSO23L17,260,10.018121183803748,['MANIZALES'],138.0,8623.5,138.0,30,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",30
MTO23L15,236,9.769574370238779,['MANIZALES'],104.0,6172.5,104.0,29,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",29
PSO23L13,174,9.645138971139938,['MANIZALES'],69.0,8753.5,69.0,25,"['2CC', '3CC', '3CFR', '3IG', '3OS', '3RL']",25
BQE23L13,208,9.414317450219798,['DOSQUEBRADAS'],113.0,7120.0,113.0,38,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",37
QHI23L11,157,9.364884845374085,['QUINCHIA'],71.0,2848.0,71.0,16,"['2CC', '3CC', '3OS', '3RG', '3RL']",16
PSV23L12,116,9.363117991722211,['PENSILVANIA'],62.0,3045.5,62.0,25,"['1CC', '2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",25
BUM23L14,180,9.193317262097382,['BELEN DE UMBRIA'],80.0,3686.0,80.0,20,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",20
PSO23L19,192,9.084647559181812,['MANIZALES'],92.0,5510.5,92.0,19,"['2CC', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",19
MAR23L14,122,8.983220436296742,['MARSELLA'],53.0,2039.0,53.0,18,"['2CC', '3CC', '3CFR', '3CR', '3OS', '3RG', '3RL']",18
NRA23L12,169,8.86913750472531,['NEIRA'],83.0,4173.0,83.0,26,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",26
MAZ23L12,127,8.841540556715591,['MANZANARES'],65.0,3673.0,65.0,22,"['2CC', '3CC', '3CR', '3IG', '3OS']",22
VIR23L12,165,8.801997347200201,['LA VIRGINIA'],81.0,5037.5,81.0,23,"['2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",23
MTO23L21,335,8.330108538869107,['MANIZALES'],87.0,9434.5,87.0,35,"['3CC', '3CR', '3IG', '3IS6', '3OS', '3RL']",35
RIO23L13,124,8.21472492365273,['RIOSUCIO'],48.0,2313.0,48.0,13,"['1CC', '2CC', '3CC', '3CFR', '3IG', '3OS']",13
MTO23L17,279,8.203544042740111,['MANIZALES'],108.0,6785.5,108.0,29,"['1CC', '2CC', '3CC', '3CR', '3IG', '3IS6', '3OS', '3RL']",29
AMA23L14,157,8.195867496289784,['ANSERMA'],77.0,4696.0,77.0,30,"['2CC', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",30
VMA23L14,139,7.997354255614041,['VILLAMARIA'],57.0,2951.0,57.0,14,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",14
DDO23L13,77,7.871430221410964,['MARMATO'],44.0,4300.5,43.0,26,"['1CC', '2CC', '3CC', '3IG', '3OS']",26
BEL23L14,99,7.676521413573595,['BELALCAZAR'],40.0,1513.5,40.0,21,"['1CC', '2CC', '3CC', '3CFR', '3IG', '3OS', '3RL']",21
CHI23L15,223,7.6611440388127745,['MANIZALES'],143.0,8433.0,143.0,37,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",37
VIR23L13,171,7.573168794404459,"['BALBOA', 'LA VIRGINIA']",86.0,4930.5,86.0,23,"['2CC', '3CC', '3OS', '3RG', '3RL']",23
FEL23L12,50,7.541370888618839,"['LA MERCED', 'SUPIA']",16.0,335.5,16.0,14,"['1CC', '2CC', '3OS', '3RG', '3RL']",14
ROS23L13,186,7.230175655873877,['DOSQUEBRADAS'],83.0,4621.0,83.0,26,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",26
PRA23L12,147,7.208918826824847,['PACORA'],64.0,2915.0,64.0,13,"['2CC', '3CC', '3CR', '3OS', '3RG']",13
MTO23L18,179,6.955043361265853,['MANIZALES'],101.0,5613.0,101.0,26,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",26
DOR23L12,182,6.829324449058279,['LA DORADA'],124.0,9701.0,124.0,48,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",48
MTO23L19,147,6.694364400168768,"['MANIZALES', 'VILLAMARIA']",67.0,3665.5,67.0,22,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",22
VMA23L15,120,6.653692758952547,['VILLAMARIA'],63.0,3490.0,63.0,15,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS']",15
PSO23L15,192,6.426563808076495,['MANIZALES'],45.0,9325.5,45.0,28,"['3CC', '3IG', '3IS6', '3OS', '3RL']",28
SIO23L12,109,6.332058433589422,['SANTUARIO'],45.0,2123.0,45.0,18,"['1CC', '2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",18
CHI23L16,251,6.2034428364788905,['MANIZALES'],47.0,5217.5,47.0,14,"['3CC', '3IG', '3IS6']",14
PSO23L18,155,6.1869997182456675,['MANIZALES'],81.0,4915.5,81.0,16,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",16
ROS23L12,157,6.150162266609391,['DOSQUEBRADAS'],74.0,4231.5,74.0,23,"['3CC', '3IG', '3OS', '3RL']",23
AZA23L14,158,5.865680339896944,['MANIZALES'],83.0,8110.0,83.0,32,"['2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",32
AGU23L12,81,5.848910568477354,['AGUADAS'],36.0,1850.5,36.0,16,"['1CC', '3CC', '3CR', '3OS', '3RG', '3RL']",16
FEL23L13,38,5.74179161388777,"['FILADELFIA', 'LA MERCED', 'SUPIA']",16.0,375.5,16.0,12,"['1CC', '2CC', '3CC', '3OS', '3RG', '3RL']",12
SUP23L16,121,5.680888317388937,['SUPIA'],51.0,2798.0,51.0,20,"['1CC', '2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",20
CHI23L14,212,5.5162331286960296,['MANIZALES'],55.0,6792.5,55.0,25,"['3CC', '3IG', '3IS6']",25
PRO23L12,65,5.4015252190290095,['PUEBLO RICO'],29.0,1218.0,29.0,12,"['2CC', '3CC', '3OS', '3RG', '3RL']",12
SUP23L12,106,5.387223940616797,['SUPIA'],48.0,3307.5,48.0,18,"['2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",18
SNA23L14,86,5.386337166509273,['SAMANA'],46.0,2170.0,46.0,11,"['1CC', '2CC', '3CC', '3CR', '3OS', '3RG']",11
MTO23L16,230,5.156296151359561,['MANIZALES'],40.0,7422.5,40.0,28,"['3CC', '3IG', '3IS6']",28
RSA23L13,94,5.149241246994204,['RISARALDA'],40.0,1515.5,40.0,12,"['1CC', '2CC', '3CC', '3OS', '3RG', '3RL']",12
AGU23L13,87,5.1200014888484855,['AGUADAS'],50.0,2375.0,50.0,14,"['2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",14
PSV23L14,26,4.957992084889545,['PENSILVANIA'],8.0,270.0,8.0,5,"['2CC', '3CC', '3OS', '3RG']",5
PSO23L14,137,4.875189177809625,['MANIZALES'],51.0,3630.5,51.0,16,"['1CC', '3CC', '3IG', '3OS', '3RL']",16
MLA23L12,85,4.869178570583193,['MARQUETALIA'],34.0,1527.5,34.0,15,"['3CC', '3CR', '3OS', '3RG']",15
AZA23L12,183,4.852944384917806,['MANIZALES'],83.0,7955.0,83.0,34,"['1CC', '2CC', '3CC', '3CR', '3IG', '3IS6', '3OS']",34
VCT23L16,17,4.693867161929083,['VICTORIA'],1.0,75.0,1.0,2,"['3IG', '3OS']",2
AZU23L12,78,4.645696598430755,['ARANZAZU'],40.0,2050.0,40.0,15,"['1CC', '3CR', '3IG', '3OS', '3RL']",15
VMA23L13,123,4.632760126641445,['VILLAMARIA'],59.0,4015.5,59.0,17,"['2CC', '3CC', '3IG', '3OS', '3RL']",17
NSA23L13,73,4.4673913043548055,['NORCASIA'],26.0,1193.0,26.0,13,"['1CC', '2CC', '3CC', '3IG', '3OS', '3RL']",13
FIL23L12,92,3.9290865935558625,['FILADELFIA'],41.0,1623.0,41.0,14,"['3CC', '3CR', '3IG', '3OS', '3RL']",14
ESM23L13,56,3.8702757871977824,['CHINCHINA'],9.0,430.0,9.0,5,"['3CC', '3CR', '3IG', '3OS']",5
MTO23L20,92,3.862149000709406,['MANIZALES'],37.0,2065.0,37.0,12,"['3CC', '3CR', '3IG', '3OS', '3RL']",12
CHI23L13,150,3.3730587306814765,['MANIZALES'],26.0,3780.0,26.0,21,"['3CC', '3IG', '3IS6', '3ISA']",21
BOL23L14,22,3.0042046601848518,['PENSILVANIA'],10.0,358.0,10.0,9,"['2CC', '3CC', '3OS', '3RG', '3RL']",9
BOA23L15,50,2.9737364865215317,['BALBOA'],23.0,970.5,23.0,11,"['1CC', '3CC', '3CR', '3OS', '3RG', '3RL']",11
MTO23L13,151,2.932367504479227,['MANIZALES'],38.0,5575.0,38.0,12,"['3IG', '3IS6']",12
MTO23L14,117,2.763942299804556,['MANIZALES'],33.0,4895.0,33.0,19,"['3CC', '3IG', '3IS6']",19
LMC23L14,42,2.4868362524058503,['LA MERCED'],21.0,860.5,21.0,9,"['1CC', '2CC', '3CC', '3OS', '3RG']",9
ROS23L14,55,2.3294447585747893,['DOSQUEBRADAS'],27.0,1737.5,27.0,10,"['3CC', '3IG', '3OC', '3OS', '3RL']",10
MAR23L15,17,2.2686883993105846,['MARSELLA'],3.0,50.0,3.0,1,['3RG'],1
PSO23L20,60,2.155383071856457,['MANIZALES'],15.0,5455.0,15.0,10,"['3IG', '3OC', '3OS']",10
MAR23L16,51,2.0330620879080996,['MARSELLA'],23.0,1215.0,23.0,10,"['2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",10
MIE23L12,19,1.75329867361091,['NORCASIA'],4.0,122.5,4.0,4,['3CC'],4
ESM23L12,16,1.0052710600665393,['CHINCHINA'],3.0,357.5,3.0,5,"['3CC', '3IG', '3OS']",5
FLR23L13,11,0.7680936668543288,['SAMANA'],8.0,357.5,8.0,3,"['3CC', '3OS', '3RG']",3
MAN23L12,38,0.750521081073265,['MANIZALES'],9.0,1480.0,9.0,1,['3IG'],1
ALM23L11,9,0.5292281408507475,['MANIZALES'],1.0,630.0,1.0,1,['3CC'],1
VMA23L12,8,0.36631745378573366,['VILLAMARIA'],0.0,0.0,0.0,3,"['3CC', '3IG']",3
INS23L15,5,0.3167661290392709,"['CHINCHINA', 'PALESTINA']",2.0,225.0,2.0,3,"['3CC', '3OS', '3RG']",3
ARM23L15,1,0.03024136477439047,['CIRCASIA'],0.0,0.0,0.0,1,['3IG'],1
ARM23L14,1,0.02629716143696781,['CIRCASIA'],0.0,0.0,0.0,1,['3IG'],1
ARM23L13,1,0.021910490804713776,['CIRCASIA'],0.0,0.0,0.0,1,['3IG'],1
ARM23L12,1,0.017872895170561363,['CIRCASIA'],0.0,0.0,0.0,1,['3IG'],1
REG23L12,1,0.016775479424317608,['ARMENIA'],0.0,0.0,0.0,1,['3IG'],1
REG23L14,1,0.016657834513578502,['ARMENIA'],0.0,0.0,0.0,1,['3IG'],1
REG23L13,1,0.013089620518414889,['ARMENIA'],0.0,0.0,0.0,1,['3IG'],1
